bus,phases,kvll,kvln,is_slack
611,C,2.4017771198288433,2.4017771198288433,0
632,ABC,2.4017771198288433,2.4017771198288433,0
633,ABC,2.4017771198288433,2.4017771198288433,0
634,ABC,0.27712812921102037,0.27712812921102037,0
645,BC,2.4017771198288433,2.4017771198288433,0
646,BC,2.4017771198288433,2.4017771198288433,0
650,ABC,2.4017771198288433,2.4017771198288433,0
652,A,2.4017771198288433,2.4017771198288433,0
670,ABC,2.4017771198288433,2.4017771198288433,0
671,ABC,2.4017771198288433,2.4017771198288433,0
675,ABC,2.4017771198288433,2.4017771198288433,0
680,ABC,2.4017771198288433,2.4017771198288433,0
684,AC,2.4017771198288433,2.4017771198288433,0
692,ABC,2.4017771198288433,2.4017771198288433,0
rg60,ABC,2.4017771198288433,2.4017771198288433,0
sourcebus,ABC,66.39528095680697,66.39528095680697,1
